Sant'Apollinare comune,Sant'Apollinare comune.1
,
Sant'Apollinare – VedutaSant'Apollinare insolitamente innevata nel febbraio 2012,Sant'Apollinare – VedutaSant'Apollinare insolitamente innevata nel febbraio 2012
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Monica Del Greco (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,41°24′N 13°50′E
Altitudine,57 m s.l.m.
Superficie,"18,02 km²"
Abitanti,1 770[1] (30-11-2025)
Densità,"98,22 ab./km²"
Frazioni,"Agnone, Caselli, Cimino, Colle della Corte, Felci, Giunture, Giunture II, Pagliare, Pantanelle, San Marco, Selvalonga."
Comuni confinanti,"Cassino, Pignataro Interamna, Rocca d'Evandro (CE), San Giorgio a Liri, Sant'Ambrogio sul Garigliano, Sant'Andrea del Garigliano, Vallemaio"
Altre informazioni,Altre informazioni
Cod. postale,03048
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060067
Cod. catastale,I302
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona C, 1 184 GG[3]"
Nome abitanti,santapollinaresi
Patrono,sant'Apollinare
Giorno festivo,23 luglio
Cartografia,Cartografia
Sant'Apollinare,Sant'Apollinare
Sant'Apollinare – MappaPosizione del comune di Sant'Apollinare nella provincia di Frosinone,Sant'Apollinare – MappaPosizione del comune di Sant'Apollinare nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
