Campoli Appennino comune,Campoli Appennino comune.1
,
Campoli Appennino – Veduta,Campoli Appennino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Pancrazia Di Benedetto (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,41°44′N 13°41′E
Altitudine,650 m s.l.m.
Superficie,"32,43 km²"
Abitanti,1 599[1] (30-11-2025)
Densità,"49,31 ab./km²"
Comuni confinanti,"Alvito, Broccostella, Pescasseroli (AQ), Pescosolido, Posta Fibreno, Sora, Villavallelonga (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060016
Cod. catastale,B543
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 374 GG[3]"
Nome abitanti,campolesi
Patrono,san Pancrazio martire
Giorno festivo,12 maggio
Cartografia,Cartografia
Campoli Appennino,Campoli Appennino
Campoli Appennino – MappaPosizione del comune di Campoli Appennino nella provincia di Frosinone,Campoli Appennino – MappaPosizione del comune di Campoli Appennino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
