Acquafondata comune,Acquafondata comune.1
,
Acquafondata – Veduta,Acquafondata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Marina Di Meo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°32′34″N 13°57′08″E
Altitudine,914 m s.l.m.
Superficie,"25,32 km²"
Abitanti,252[1] (30-11-2025)
Densità,"9,95 ab./km²"
Frazioni,Casalcassinese
Comuni confinanti,"Filignano (IS), Pozzilli (IS), Vallerotonda, Viticuso"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060001
Cod. catastale,A032
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 839 GG[3]"
Nome abitanti,acquafondatari
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Acquafondata,Acquafondata
Acquafondata – MappaPosizione del comune di Acquafondata nella provincia di Frosinone,Acquafondata – MappaPosizione del comune di Acquafondata nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
