Ceccano comune,Ceccano comune.1
,
Ceccano – Veduta,Ceccano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Andrea Querqui (PD) dal 26-5-2025
Territorio,Territorio
Coordinate,41°34′N 13°20′E
Altitudine,200 m s.l.m.
Superficie,"61,06 km²"
Abitanti,21 983[1] (30-11-2025)
Densità,"360,02 ab./km²"
Comuni confinanti,"Arnara, Castro dei Volsci, Frosinone, Giuliano di Roma, Patrica, Pofi, Villa Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,03023
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060024
Cod. catastale,C413
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 775 GG[3]"
Nome abitanti,ceccanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Ceccano,Ceccano
Ceccano – MappaPosizione del comune di Ceccano nella provincia di Frosinone,Ceccano – MappaPosizione del comune di Ceccano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
