Trivigliano comune,Trivigliano comune.1
,
Trivigliano – Veduta,Trivigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gianluca Latini (lista civica Si Amo Trivigliano) dal 4-10-2021
Territorio,Territorio
Coordinate,41°46′32.9″N 13°16′22.1″E
Altitudine,780 m s.l.m.
Superficie,"12,64 km²"
Abitanti,1 591[1] (30-11-2025)
Densità,"125,87 ab./km²"
Frazioni,"San Giovanni, Pratovalle, Sassotello, 3 Fontane, Cerreta, Valcagnano, Canterno, Padoni, Collitimi, Pezze, Colle Jorio, Rasella, Monte Santa Croce, Dello Spreco,"
Comuni confinanti,"Alatri, Ferentino, Fiuggi, Fumone, Guarcino, Torre Cajetani"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060081
Cod. catastale,L437
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 527 GG[3]"
Nome abitanti,triviglianesi
Patrono,santa Oliva di Anagni
Giorno festivo,11 giugno
Cartografia,Cartografia
Trivigliano,Trivigliano
Trivigliano – MappaPosizione del comune di Trivigliano nella provincia di Frosinone,Trivigliano – MappaPosizione del comune di Trivigliano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
