Castro dei Volsci comune,Castro dei Volsci comune.1
,
Castro dei Volsci – Veduta,Castro dei Volsci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Leonardo Ambrosi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°31′N 13°24′E
Altitudine,385 m s.l.m.
Superficie,"58,45 km²"
Abitanti,4 349[1] (30-11-2025)
Densità,"74,41 ab./km²"
Frazioni,"Barbugliano, Camporosello, Cavatelle, Centro Storico, Collecavallo, Collenuovo, Collepece, Collevento, Crespasa, Farneta, Flagellano, Fosso, Limate, Madonna del Piano, Martiglioni, Montecrispi, Montenero, Pozzotello, Ranetto, Rio Sacco, San Giacomo, San Sosio, San Tamaro, Scarpatosta, Selvotta, Stazione, Quattro Strade, Vallefratta, Vallereale"
Comuni confinanti,"Amaseno, Ceccano, Ceprano, Falvaterra, Lenola (LT), Pastena, Pofi, Vallecorsa, Villa Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,03020
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060023
Cod. catastale,C338
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 831 GG[3]"
Nome abitanti,castresi
Patrono,sant'Oliva
Giorno festivo,3 giugno
Cartografia,Cartografia
Castro dei Volsci,Castro dei Volsci
Castro dei Volsci – MappaPosizione del comune di Castro dei Volsci nella provincia di Frosinone,Castro dei Volsci – MappaPosizione del comune di Castro dei Volsci nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
