Villa Santa Lucia comune,Villa Santa Lucia comune.1
,
Villa Santa Lucia – Veduta,Villa Santa Lucia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Orazio Capraro (lista civica) dal 15-05-2023
Territorio,Territorio
Coordinate,41°31′N 13°46′E
Altitudine,393 m s.l.m.
Superficie,"17,77 km²"
Abitanti,2 441[1] (30-11-2025)
Densità,"137,37 ab./km²"
Frazioni,"Pittoni, Piumarola"
Comuni confinanti,"Cassino, Piedimonte San Germano, Pignataro Interamna, Terelle"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060089
Cod. catastale,L905
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona D, 1 726 GG[3]"
Nome abitanti,villesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Villa Santa Lucia,Villa Santa Lucia
Villa Santa Lucia – MappaPosizione del comune di Villa Santa Lucia nella provincia di Frosinone,Villa Santa Lucia – MappaPosizione del comune di Villa Santa Lucia nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
