Castelnuovo Parano comune,Castelnuovo Parano comune.1
,
Castelnuovo Parano – Veduta,Castelnuovo Parano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Oreste De Bellis (lista civica Impegno per Castelnuovo) dall'11-6-2017
Territorio,Territorio
Coordinate,41°22′N 13°45′E
Altitudine,310 m s.l.m.
Superficie,"9,88 km²"
Abitanti,832[1] (30-11-2025)
Densità,"84,21 ab./km²"
Frazioni,"Casali, Terra, Valli-Sant'Antonio Abate, Cisterna, Pimpinelli"
Comuni confinanti,"Ausonia, Coreno Ausonio, Esperia, San Giorgio a Liri, Vallemaio"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060021
Cod. catastale,C223
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 698 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Mauro
Giorno festivo,15 gennaio
Cartografia,Cartografia
Castelnuovo Parano,Castelnuovo Parano
Castelnuovo Parano – MappaPosizione del comune di Castelnuovo Parano nella provincia di Frosinone,Castelnuovo Parano – MappaPosizione del comune di Castelnuovo Parano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
