Colle San Magno comune,Colle San Magno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Valentina Cambone (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°33′N 13°42′E
Altitudine,540 m s.l.m.
Superficie,"44,99 km²"
Abitanti,603[1] (30-11-2025)
Densità,"13,4 ab./km²"
Frazioni,"Cantalupo, Forma, Varciosa, Scannole, Vaglie, Marrone."
Comuni confinanti,"Casalattico, Castrocielo, Piedimonte San Germano, Roccasecca, Santopadre, Terelle"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060029
Cod. catastale,C870
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 103 GG[3]"
Nome abitanti,collacciani
Patrono,san Magno di Anagni
Giorno festivo,19 agosto
Cartografia,Cartografia
Colle San Magno,Colle San Magno
Colle San Magno – MappaPosizione del comune di Colle San Magno nella provincia di Frosinone,Colle San Magno – MappaPosizione del comune di Colle San Magno nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
