Belmonte Castello comune,Belmonte Castello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Antonio Iannetta (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,41°35′N 13°49′E
Altitudine,369 m s.l.m.
Superficie,"14,05 km²"
Abitanti,656[1] (30-11-2025)
Densità,"46,69 ab./km²"
Comuni confinanti,"Atina, Sant'Elia Fiumerapido, Terelle, Villa Latina"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060013
Cod. catastale,A763
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 804 GG[3]"
Nome abitanti,belmontesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Belmonte Castello,Belmonte Castello
Belmonte Castello – MappaPosizione del comune di Belmonte Castello nella provincia di Frosinone,Belmonte Castello – MappaPosizione del comune di Belmonte Castello nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
