Acuto comune,Acuto comune.1
,
Acuto – VedutaPanoramica di Acuto,Acuto – VedutaPanoramica di Acuto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Augusto Agostini (lista civica Progetto Acuto) dal 9-6-2009
Territorio,Territorio
Coordinate,41°47′30.94″N 13°10′23.94″E
Altitudine,724 m s.l.m.
Superficie,"13,47 km²"
Abitanti,1 784[1] (30-11-2025)
Densità,"132,44 ab./km²"
Comuni confinanti,"Anagni, Ferentino, Fiuggi, Piglio"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060002
Cod. catastale,A054
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 519 GG[3]"
Nome abitanti,acutini
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Acuto,Acuto
Acuto – MappaPosizione del comune di Acuto nella provincia di Frosinone,Acuto – MappaPosizione del comune di Acuto nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
