Viticuso comune,Viticuso comune.1
,
Viticuso – Veduta,Viticuso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Vincenzo Antonino Iannetta (lista civica Viticuso cambiare si può) dal 4-10-2021
Territorio,Territorio
Coordinate,41°31′31″N 13°58′10″E
Altitudine,858 m s.l.m.
Superficie,"20,86 km²"
Abitanti,283[1] (30-11-2025)
Densità,"13,57 ab./km²"
Comuni confinanti,"Acquafondata, Cervaro, Conca Casale (IS), Pozzilli (IS), San Vittore del Lazio, Vallerotonda"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060091
Cod. catastale,M083
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 661 GG[3]"
Nome abitanti,viticusani
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Viticuso,Viticuso
Viticuso – MappaPosizione del comune di Viticuso nella provincia di Frosinone,Viticuso – MappaPosizione del comune di Viticuso nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
