Terelle comune,Terelle comune.1
,
Terelle – Veduta,Terelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Fiorella Gazzellone (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°33′07.7″N 13°46′40.1″E
Altitudine,905 m s.l.m.
Superficie,"31,65 km²"
Abitanti,265[1] (30-11-2025)
Densità,"8,37 ab./km²"
Comuni confinanti,"Atina, Belmonte Castello, Casalattico, Cassino, Colle San Magno, Piedimonte San Germano, Sant'Elia Fiumerapido, Villa Santa Lucia"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060077
Cod. catastale,L105
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 715 GG[3]"
Nome abitanti,terellesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Terelle,Terelle
Terelle – MappaPosizione del comune di Terelle nella provincia di Frosinone,Terelle – MappaPosizione del comune di Terelle nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
