Pofi comune,Pofi comune.1
,
Pofi – Veduta,Pofi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Angelo Mattoccia (lista civica Siamo Pofi) dal 13-6-2022
Territorio,Territorio
Coordinate,41°34′N 13°25′E
Altitudine,283 m s.l.m.
Superficie,"30,68 km²"
Abitanti,3 843[1] (30-11-2025)
Densità,"125,26 ab./km²"
Comuni confinanti,"Arnara, Castro dei Volsci, Ceccano, Ceprano, Ripi"
Altre informazioni,Altre informazioni
Cod. postale,03026
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060055
Cod. catastale,G749
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 158 GG[3]"
Nome abitanti,pofani
Patrono,san Sebastiano
Giorno festivo,1º agosto
Cartografia,Cartografia
Pofi,Pofi
Pofi – MappaPosizione del comune di Pofi nella provincia di Frosinone,Pofi – MappaPosizione del comune di Pofi nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
