Collepardo comune,Collepardo comune.1
,
Collepardo – Veduta,Collepardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Mauro Bussiglieri (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,41°46′N 13°22′E
Altitudine,586 m s.l.m.
Superficie,"24,68 km²"
Abitanti,858[1] (30-11-2025)
Densità,"34,76 ab./km²"
Frazioni,Civita
Comuni confinanti,"Alatri, Veroli, Vico nel Lazio"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060028
Cod. catastale,C864
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 266 GG[3]"
Nome abitanti,collepardesi
Patrono,Santissimo Salvatore
Giorno festivo,6 agosto
Cartografia,Cartografia
Collepardo,Collepardo
Collepardo – MappaPosizione del comune di Collepardo nella provincia di Frosinone,Collepardo – MappaPosizione del comune di Collepardo nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
