Sant'Andrea del Garigliano comune,Sant'Andrea del Garigliano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Pietro Reale (P.F) dal 10-5-2024
Territorio,Territorio
Coordinate,41°22′05″N 13°50′30″E
Altitudine,300 m s.l.m.
Superficie,"17,11 km²"
Abitanti,1 261[1] (30-11-2025)
Densità,"73,7 ab./km²"
Comuni confinanti,"Castelforte (LT), Rocca d'Evandro (CE), Sant'Ambrogio sul Garigliano, Sant'Apollinare, Vallemaio"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060066
Cod. catastale,I265
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 636 GG[3]"
Nome abitanti,santandreani
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Sant'Andrea del Garigliano,Sant'Andrea del Garigliano
Sant'Andrea del Garigliano – MappaPosizione del comune di Sant'Andrea del Garigliano nella provincia di Frosinone,Sant'Andrea del Garigliano – MappaPosizione del comune di Sant'Andrea del Garigliano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
