Fontana Liri comune,Fontana Liri comune.1
,
Fontana Liri – VedutaScorcio di Fontana Liri Superiore,Fontana Liri – VedutaScorcio di Fontana Liri Superiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gianpio Sarracco (lista civica) dal 31-5-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,41°37′N 13°33′E
Altitudine,150 m s.l.m.
Superficie,"16,11 km²"
Abitanti,2 591[1] (30-11-2025)
Densità,"160,83 ab./km²"
Comuni confinanti,"Arce, Arpino, Monte San Giovanni Campano, Rocca d'Arce, Santopadre"
Altre informazioni,Altre informazioni
Cod. postale,03035
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060036
Cod. catastale,D667
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona D, 1 523 GG[3]"
Nome abitanti,fontanesi
Patrono,"Santo Stefano, Santa Barbara"
Giorno festivo,"26 dicembre, 4 dicembre"
Cartografia,Cartografia
Fontana Liri,Fontana Liri
Fontana Liri – MappaPosizione del comune di Fontana Liri nella provincia di Frosinone,Fontana Liri – MappaPosizione del comune di Fontana Liri nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
