Villa Santo Stefano comune,Villa Santo Stefano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Paolo Petrilli (lista civica Noi per Villa) dal 10-06-2024
Territorio,Territorio
Coordinate,41°31′N 13°19′E
Altitudine,205 m s.l.m.
Superficie,"20,1 km²"
Abitanti,1 566[1] (30-11-2025)
Densità,"77,91 ab./km²"
Frazioni,Macchioni
Comuni confinanti,"Amaseno, Castro dei Volsci, Ceccano, Giuliano di Roma, Prossedi (LT)"
Altre informazioni,Altre informazioni
Cod. postale,03020
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060090
Cod. catastale,I364
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 517 GG[3]"
Nome abitanti,Santostefanesi
Patrono,san Rocco: Santo Stefano Protomartire - (Compatrono)
Giorno festivo,"16 agosto (San Rocco), 26 dicembre (Santo Stefano Protomartire)"
Cartografia,Cartografia
Villa Santo Stefano,Villa Santo Stefano
Villa Santo Stefano – MappaPosizione del comune di Villa Santo Stefano nella provincia di Frosinone,Villa Santo Stefano – MappaPosizione del comune di Villa Santo Stefano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
