Frosinone comune,Frosinone comune.1
,
Frosinone – VedutaPanorama di Frosinone bassa con vista verso Nord-Ovest,Frosinone – VedutaPanorama di Frosinone bassa con vista verso Nord-Ovest
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Riccardo Mastrangeli (FI) dal 29-6-2022
Territorio,Territorio
Coordinate,41°38′N 13°21′E
Altitudine,291 m s.l.m.
Superficie,"46,85 km²"
Abitanti,42 860[1] (30-11-2025)
Densità,"914,83 ab./km²"
Frazioni,"Capo Barile Nicolia, Cerreto, Colle Cannuccio, Colle Cottorino, Colle Martuccio, Fontana Grande, Impratessa, La Cervona, La Pescara, Le Pignatelle, Le Rase, Madonna della Neve, Le Noci, Pratillo, San Liberatore, Selva dei Muli, Stazione, Valle Contessa, Vetiche I"
Comuni confinanti,"Alatri, Arnara, Ceccano, Ferentino, Patrica, Supino, Torrice, Veroli"
Altre informazioni,Altre informazioni
Cod. postale,03100
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060038
Cod. catastale,D810
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 196 GG[3]"
Nome abitanti,frusinati
Patrono,santi Ormisda e Silverio
Giorno festivo,20 giugno
Motto,(LA) Bellator Frusino
Cartografia,Cartografia
Frosinone,Frosinone
Frosinone – MappaPosizione del comune di Frosinone nell'omonima provincia,Frosinone – MappaPosizione del comune di Frosinone nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
