Filettino comune,Filettino comune.1
,
Filettino – VedutaVeduta di Filettino,Filettino – VedutaVeduta di Filettino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Paolo De Meis (Lista civica “Naturalmente Insieme per Filettino”) dal 15-05-2023
Territorio,Territorio
Coordinate,41°53′N 13°20′E
Altitudine,1 063 m s.l.m.
Superficie,"78,08 km²"
Abitanti,536[1] (30-11-2025)
Densità,"6,86 ab./km²"
Comuni confinanti,"Canistro (AQ), Capistrello (AQ), Cappadocia (AQ), Castellafiume (AQ), Civitella Roveto (AQ), Guarcino, Morino (AQ), Trevi nel Lazio, Vallepietra (RM)"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060034
Cod. catastale,D591
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona F, 3 088 GG[3]"
Nome abitanti,filettinesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Filettino,Filettino
Filettino – MappaPosizione del comune di Filettino nella provincia di Frosinone,Filettino – MappaPosizione del comune di Filettino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
