Pico comune,Pico comune.1
,
Pico – Veduta,Pico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Pierluigi Lepore (lista civica) dal 15-05-2023
Territorio,Territorio
Coordinate,41°27′05″N 13°33′42″E
Altitudine,190 m s.l.m.
Superficie,"32,93 km²"
Abitanti,2 559[1] (30-11-2025)
Densità,"77,71 ab./km²"
Comuni confinanti,"Campodimele (LT), Lenola (LT), Pastena, Pontecorvo, San Giovanni Incarico"
Altre informazioni,Altre informazioni
Cod. postale,03020
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060051
Cod. catastale,G592
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 478 GG[3]"
Nome abitanti,picani
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Pico,Pico
Pico – MappaPosizione del comune di Pico nella provincia di Frosinone,Pico – MappaPosizione del comune di Pico nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
