Torre Cajetani comune,Torre Cajetani comune.1
,
Torre Cajetani – Veduta,Torre Cajetani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Silverio Ubodi (lista civica Nuova era - Insieme per cambiare) dal 4-10-2021
Territorio,Territorio
Coordinate,41°47′12.19″N 13°15′54.72″E
Altitudine,819 m s.l.m.
Superficie,"11,99 km²"
Abitanti,1 316[1] (30-11-2025)
Densità,"109,76 ab./km²"
Comuni confinanti,"Fiuggi, Guarcino, Trivigliano"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060078
Cod. catastale,L243
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 595 GG[3]"
Nome abitanti,Torrigiani
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Torre Cajetani,Torre Cajetani
Torre Cajetani – MappaPosizione del comune di Torre Cajetani nella provincia di Frosinone,Torre Cajetani – MappaPosizione del comune di Torre Cajetani nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
