Aquino comune,Aquino comune.1
,
Aquino – Veduta,Aquino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Fausto Tomassi (lista civica Aquino finalmente nuova) dal 15-5-2023
Territorio,Territorio
Coordinate,41°28′35.14″N 13°42′43.43″E
Altitudine,109 m s.l.m.
Superficie,"19,24 km²"
Abitanti,4 904[1] (30-11-2025)
Densità,"254,89 ab./km²"
Frazioni,"Campitelli, Castelluccio, Filetti, Fornace, San Marco, Selvotta, Torre San Gregorio, Valli, Zammarrelli"
Comuni confinanti,"Castrocielo, Piedimonte San Germano, Pignataro Interamna, Pontecorvo"
Altre informazioni,Altre informazioni
Cod. postale,03031
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060007
Cod. catastale,A348
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona C, 1 286 GG[3]"
Nome abitanti,aquinati
Patrono,Tommaso d'Aquino principale e san Costanzo compatrono
Giorno festivo,7 marzo e 1º settembre
Soprannome,La Città di San Tommaso
Cartografia,Cartografia
Aquino,Aquino
Aquino – MappaPosizione del comune di Aquino nella provincia di Frosinone,Aquino – MappaPosizione del comune di Aquino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
