Picinisco comune,Picinisco comune.1
,
Picinisco – Veduta,Picinisco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Marco Scappaticci (lista civica) dal 6-5-2012
Territorio,Territorio
Coordinate,41°39′N 13°52′E
Altitudine,725 m s.l.m.
Superficie,"62,15 km²"
Abitanti,1 097[1] (30-11-2025)
Densità,"17,65 ab./km²"
Frazioni,"San Pietro, Serre, Colle Posta, Immoglie, Colleruta, Campo trivolte, Casale, Casalucra, Ciacca, Chiuselle, Collepanico, Remune, Borgo Castellone, Fontitune, Antica, Liscia, Rocca degli Alberi, San Gennaro, San Giuseppe, Valle Porcina"
Comuni confinanti,"Alfedena (AQ), Atina, Barrea (AQ), Gallinaro, Pizzone (IS), San Biagio Saracinisco, Sant'Elia Fiumerapido, Settefrati, Villa Latina"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060050
Cod. catastale,G591
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 407 GG[3]"
Nome abitanti,piciniscani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Picinisco,Picinisco
Picinisco – MappaPosizione del comune di Picinisco nella provincia di Frosinone,Picinisco – MappaPosizione del comune di Picinisco nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
