Atina comune,Atina comune.1
,
Atina – Veduta,Atina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Pietro Volante (lista civica Progetto per Atina) dal 15-5-2023
Territorio,Territorio
Coordinate,41°37′13.8″N 13°47′54.38″E
Altitudine,481 m s.l.m.
Superficie,"29,89 km²"
Abitanti,4 081[1] (30-11-2025)
Densità,"136,53 ab./km²"
Frazioni,"Capo di China, Colle Alto, Colle Melfa, Le Sode, Piè delle Piagge, Ponte Melfa, Rosanisco, Sabina, San Marciano, Settignano"
Comuni confinanti,"Alvito, Belmonte Castello, Casalattico, Casalvieri, Gallinaro, Picinisco, Terelle, Villa Latina"
Altre informazioni,Altre informazioni
Cod. postale,03042
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060011
Cod. catastale,A486
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 127 GG[3]"
Nome abitanti,atinati o atinesi
Patrono,san Marco Galileo
Giorno festivo,1º ottobre
Cartografia,Cartografia
Atina,Atina
Atina – MappaPosizione del comune di Atina nella provincia di Frosinone,Atina – MappaPosizione del comune di Atina nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
