Provincia di Frosinone provincia,Provincia di Frosinone provincia.1
Provincia di Frosinone,Provincia di Frosinone
,
"Provincia di Frosinone – VedutaPalazzo Gramsci a Frosinone, sede dell'amministrazione provinciale","Provincia di Frosinone – VedutaPalazzo Gramsci a Frosinone, sede dell'amministrazione provinciale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Amministrazione,Amministrazione
Capoluogo,Frosinone
Presidente,Luca Di Stefano dal 18-12-2022
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,41°38′N 13°21′E
Superficie,"3 247,08 km²"
Abitanti,460 838[1] (31-10-2025)
Densità,"141,92 ab./km²"
Comuni,91 comuni
Province confinanti,"Roma, L'Aquila (Abruzzo), Isernia (Molise), Caserta (Campania), Latina"
Altre informazioni,Altre informazioni
Lingue,"Italiano, dialetto ciociaro"
Cod. postale,03100
Prefisso,"0775, 0776"
Fuso orario,UTC+1
ISO 3166-2,IT-FR
Codice ISTAT,060
Targa,FR
Motto,(LA) Ferocior ad bellandum gens (IT) Popolo più feroce nel fare la guerra
Cartografia,Cartografia
Provincia di Frosinone – Localizzazione,Provincia di Frosinone – Localizzazione
Provincia di Frosinone – MappaPosizione della provincia di Frosinone nel Lazio.,Provincia di Frosinone – MappaPosizione della provincia di Frosinone nel Lazio.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
