Alatri comune,Alatri comune.1
,
"Alatri – VedutaPanorama dall'acropoli, 2006","Alatri – VedutaPanorama dall'acropoli, 2006"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Maurizio Cianfrocca (centrodestra) dal 18-10-2021
Territorio,Territorio
Coordinate,41°43′35″N 13°20′32″E
Altitudine,502 m s.l.m.
Superficie,"96,96 km²"
Abitanti,27 439[1] (30-11-2025)
Densità,"282,99 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Collepardo, Ferentino, Frosinone, Fumone, Guarcino, Morino (AQ), Trivigliano, Veroli, Vico nel Lazio"
Altre informazioni,Altre informazioni
Cod. postale,03011
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060003
Cod. catastale,A123
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,"alatresi, alatrensi o alatrini"
Patrono,san Sisto I Papa
Giorno festivo,11 gennaio mercoledì dopo Pasqua
Motto,(LA) Vetustissima et fidelissima civitas Alatrina (IT) Antichissima e fedelissima città alatrina
Cartografia,Cartografia
Alatri,Alatri
Alatri – MappaPosizione del comune di Alatri nella provincia di Frosinone,Alatri – MappaPosizione del comune di Alatri nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
