Pescosolido comune,Pescosolido comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Donato Enrico Bellisario (lista civica Uniti per Pescosolido) dal 27-5-2019
Territorio,Territorio
Coordinate,41°44′57″N 13°39′27″E
Altitudine,630 m s.l.m.
Superficie,"44,9 km²"
Abitanti,1 369[1] (30-11-2025)
Densità,"30,49 ab./km²"
Comuni confinanti,"Balsorano (AQ), Campoli Appennino, Sora, Villavallelonga (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060049
Cod. catastale,G500
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 346 GG[3]"
Nome abitanti,pescosolidani
Patrono,san Giovanni Battista
Giorno festivo,14 settembre
Cartografia,Cartografia
Pescosolido,Pescosolido
Pescosolido – MappaPosizione del comune di Pescosolido nella provincia di Frosinone,Pescosolido – MappaPosizione del comune di Pescosolido nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
