Vico nel Lazio comune,Vico nel Lazio comune.1
,
Vico nel Lazio – Veduta,Vico nel Lazio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Stefano Pelloni (lista civica Obiettivo Vico) dal 10-6-2024
Territorio,Territorio
Coordinate,41°47′N 13°21′E
Altitudine,721 m s.l.m.
Superficie,"45,85 km²"
Abitanti,2 047[1] (30-11-2025)
Densità,"44,65 ab./km²"
Frazioni,Pitocco
Comuni confinanti,"Alatri, Collepardo, Guarcino, Morino (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,03010
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060087
Cod. catastale,L843
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 418 GG[3]"
Nome abitanti,vichensi (o vicalotti in dialetto)
Patrono,san Giorgio Martire
Giorno festivo,23 aprile ultimo fine settimana di luglio
Cartografia,Cartografia
Vico nel Lazio,Vico nel Lazio
Vico nel Lazio – MappaPosizione del comune di Vico nel Lazio nella provincia di Frosinone,Vico nel Lazio – MappaPosizione del comune di Vico nel Lazio nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
