Piedimonte San Germano comune,Piedimonte San Germano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gioacchino Ferdinandi (lista civica Piedimonte ora) dal 12-6-2017(2⁰ mandato dal 12-06-2022)
Territorio,Territorio
Coordinate,41°30′N 13°44′E
Altitudine,115 m s.l.m.
Superficie,"17,32 km²"
Abitanti,6 330[1] (30-11-2025)
Densità,"365,47 ab./km²"
Frazioni,"Volla, Ruscito"
Comuni confinanti,"Aquino, Castrocielo, Colle San Magno, Pignataro Interamna, Terelle, Villa Santa Lucia"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060052
Cod. catastale,G598
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona C, 1 284 GG[3]"
Nome abitanti,pedemontani
Patrono,sant'Amasio
Giorno festivo,23 gennaio
Cartografia,Cartografia
Piedimonte San Germano,Piedimonte San Germano
Piedimonte San Germano – MappaPosizione del comune di Piedimonte San Germano nella provincia di Frosinone,Piedimonte San Germano – MappaPosizione del comune di Piedimonte San Germano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
