Boville Ernica comune,Boville Ernica comune.1
,
Boville Ernica – Veduta,Boville Ernica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Commissario prefettizio dal 15-4-2025
Territorio,Territorio
Coordinate,41°38′33″N 13°28′26.36″E
Altitudine,450 m s.l.m.
Superficie,"28,19 km²"
Abitanti,8 227[1] (30-11-2025)
Densità,"291,84 ab./km²"
Frazioni,"Antica Colle Piscioso, Brecciaro, Bartolomeo, Casavitola, Castello, Colle Campano, Colle Martino, Colle Mausoleo, Colle Piscioso, Galoppino, Madonna delle Grazie, Mozzano Torretta, Panicelli, Portantino, Rotabile, Santa Elisabetta, Sasso, San Lucio, Santa Liberata, Scrima, Spulla, Torretta, Vettuno, Colle San Paolo"
Comuni confinanti,"Monte San Giovanni Campano, Ripi, Strangolagalli, Torrice, Veroli"
Altre informazioni,Altre informazioni
Cod. postale,03022
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060014
Cod. catastale,A720
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 942 GG[3]"
Nome abitanti,bovillensi o baucani
Patrono,San Pietro Ispano
Giorno festivo,11 marzo
Cartografia,Cartografia
Boville Ernica,Boville Ernica
Boville Ernica – MappaPosizione del comune di Boville Ernica nella provincia di Frosinone,Boville Ernica – MappaPosizione del comune di Boville Ernica nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
