Veroli comune,Veroli comune.1
,
Veroli – VedutaPanorama di Veroli,Veroli – VedutaPanorama di Veroli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Germano Caperna (indipendente di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,41°41′N 13°25′E
Altitudine,594 m s.l.m.
Superficie,"119,65 km²"
Abitanti,19 416[1] (30-11-2025)
Densità,"162,27 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Alatri, Balsorano (AQ), Boville Ernica, Collepardo, Frosinone, Monte San Giovanni Campano, Morino (AQ), Ripi, San Vincenzo Valle Roveto (AQ), Sora, Torrice"
Altre informazioni,Altre informazioni
Cod. postale,03029
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060085
Cod. catastale,L780
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 014 GG[3]"
Nome abitanti,verolani
Patrono,Santa Maria Salome
Giorno festivo,25 maggio
Motto,(LA) Verulana Civitas Almae Urbi Confoederata (IT) La città di Veroli confederata alla generosa Roma
Cartografia,Cartografia
Veroli,Veroli
Veroli – MappaPosizione del comune di Veroli nella provincia di Frosinone,Veroli – MappaPosizione del comune di Veroli nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
