Guarcino comune,Guarcino comune.1
,
Guarcino – VedutaVeduta di Guarcino,Guarcino – VedutaVeduta di Guarcino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Urbano Restante (lista civica) dal 31-5-2015
Territorio,Territorio
Coordinate,41°48′N 13°19′E
Altitudine,675 m s.l.m.
Superficie,"40,37 km²"
Abitanti,1 488[1] (30-11-2025)
Densità,"36,86 ab./km²"
Comuni confinanti,"Alatri, Filettino, Fiuggi, Morino (AQ), Torre Cajetani, Trevi nel Lazio, Trivigliano, Vico nel Lazio"
Altre informazioni,Altre informazioni
Cod. postale,03016
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060042
Cod. catastale,E236
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 272 GG[3]"
Nome abitanti,guarcinesi
Patrono,sant'Agnello
Giorno festivo,14 dicembre
Cartografia,Cartografia
Guarcino,Guarcino
Guarcino – MappaPosizione del comune di Guarcino nella provincia di Frosinone,Guarcino – MappaPosizione del comune di Guarcino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
