Sant'Ambrogio sul Garigliano comune,Sant'Ambrogio sul Garigliano comune.1
,
Sant'Ambrogio sul Garigliano – Veduta,Sant'Ambrogio sul Garigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Sergio Messore (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,41°23′N 13°52′E
Altitudine,137 m s.l.m.
Superficie,"9,03 km²"
Abitanti,862[1] (30-11-2025)
Densità,"95,46 ab./km²"
Comuni confinanti,"Rocca d'Evandro (CE), Sant'Andrea del Garigliano, Sant'Apollinare"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060065
Cod. catastale,I256
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona C, 1 347 GG[3]"
Nome abitanti,ambrosiani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Sant'Ambrogio sul Garigliano,Sant'Ambrogio sul Garigliano
Sant'Ambrogio sul Garigliano – MappaPosizione del comune di Sant'Ambrogio sul Garigliano nella provincia di Frosinone,Sant'Ambrogio sul Garigliano – MappaPosizione del comune di Sant'Ambrogio sul Garigliano nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
