Pignataro Interamna comune,Pignataro Interamna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Benedetto Murro (lista civica Per Pignataro) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°26′N 13°47′E
Altitudine,69 m s.l.m.
Superficie,"24,41 km²"
Abitanti,2 370[1] (30-11-2025)
Densità,"97,09 ab./km²"
Frazioni,"Cardillo, Di Giorgio, Felci, Pescanese, Santo Janni"
Comuni confinanti,"Aquino, Cassino, Esperia, Piedimonte San Germano, Pontecorvo, San Giorgio a Liri, Sant'Apollinare, Villa Santa Lucia"
Altre informazioni,Altre informazioni
Cod. postale,03040
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060054
Cod. catastale,G662
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona C, 1 211 GG[3]"
Nome abitanti,pignataresi
Patrono,Santissimo Salvatore
Giorno festivo,6 agosto[senza fonte]
Cartografia,Cartografia
Pignataro Interamna,Pignataro Interamna
Pignataro Interamna – MappaPosizione del comune di Pignataro Interamna nella provincia di Frosinone,Pignataro Interamna – MappaPosizione del comune di Pignataro Interamna nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
