Santopadre comune,Santopadre comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Giampiero Forte (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,41°36′N 13°38′E
Altitudine,730 m s.l.m.
Superficie,"21,6 km²"
Abitanti,1 175[1] (30-11-2025)
Densità,"54,4 ab./km²"
Comuni confinanti,"Arpino, Casalattico, Colle San Magno, Fontana Liri, Rocca d'Arce, Roccasecca"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060069
Cod. catastale,I351
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 414 GG[3]"
Nome abitanti,santopadresi
Patrono,san Folco
Giorno festivo,22 maggio
Cartografia,Cartografia
Santopadre,Santopadre
Santopadre – MappaPosizione del comune di Santopadre nella provincia di Frosinone,Santopadre – MappaPosizione del comune di Santopadre nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
