Arnara comune,Arnara comune.1
,
Arnara – Veduta,Arnara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Massimo Fiori (lista civica Arnara bene comune) dal 09-06-2024
Territorio,Territorio
Coordinate,41°35′N 13°23′E
Altitudine,250 m s.l.m.
Superficie,"12,29 km²"
Abitanti,2 141[1] (30-11-2025)
Densità,"174,21 ab./km²"
Frazioni,"Colle Orso, Costa Grande, Sterparo, Colle Mola, Starnelle"
Comuni confinanti,"Ceccano, Frosinone, Pofi, Ripi, Torrice"
Altre informazioni,Altre informazioni
Cod. postale,03020
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060009
Cod. catastale,A421
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 860 GG[3]"
Nome abitanti,Arnaresi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
PIL,(nominale) Template:22 mila Euro
Cartografia,Cartografia
Arnara,Arnara
Arnara – MappaPosizione del comune di Arnara nella provincia di Frosinone,Arnara – MappaPosizione del comune di Arnara nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
