Cervaro comune,Cervaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Ennio Marrocco (lista civica Il cervo per Cervaro) dal 22-9-2020
Territorio,Territorio
Coordinate,41°28′58.01″N 13°54′07.85″E
Altitudine,250 m s.l.m.
Superficie,"39,41 km²"
Abitanti,7 716[1] (30-11-2025)
Densità,"195,79 ab./km²"
Comuni confinanti,"Cassino, San Vittore del Lazio, Sant'Elia Fiumerapido, Vallerotonda, Viticuso"
Altre informazioni,Altre informazioni
Cod. postale,03044
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060026
Cod. catastale,C545
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 527 GG[3]"
Nome abitanti,cervaresi
Patrono,Maria santissima de Piternis - santo Stefano
Giorno festivo,8 settembre - 26 dicembre
Cartografia,Cartografia
Cervaro,Cervaro
Cervaro – MappaPosizione del comune di Cervaro nella provincia di Frosinone,Cervaro – MappaPosizione del comune di Cervaro nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
