Castrocielo comune,Castrocielo comune.1
,
Castrocielo – VedutaPiazza di Castrocielo,Castrocielo – VedutaPiazza di Castrocielo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Giovanni Fantaccione (lista civica Cambiamo Castrocielo) dal 4-10-2021
Territorio,Territorio
Coordinate,41°32′N 13°42′E
Altitudine,250 m s.l.m.
Superficie,"27,92 km²"
Abitanti,3 726[1] (30-11-2025)
Densità,"133,45 ab./km²"
Frazioni,"Centro, Strada Romana, San Liberatore, Stazione, Rio, Capodacqua, Saudoni, Campo Cavaliere"
Comuni confinanti,"Aquino, Colle San Magno, Piedimonte San Germano, Pontecorvo, Roccasecca"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060022
Cod. catastale,C340
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona D, 1 585 GG[3]"
Nome abitanti,castrocielesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Castrocielo,Castrocielo
Castrocielo – MappaPosizione del comune di Castrocielo nella provincia di Frosinone,Castrocielo – MappaPosizione del comune di Castrocielo nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
