Supino comune,Supino comune.1
,
Supino – VedutaPanorama,Supino – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Gianfranco Barletta (lista civica) dal 6-6-2016 (2º mandato dal 18-10-2021)
Territorio,Territorio
Coordinate,41°37′N 13°14′E
Altitudine,321 m s.l.m.
Superficie,"35,59 km²"
Abitanti,4 570[1] (30-11-2025)
Densità,"128,41 ab./km²"
Frazioni,Ortelle
Comuni confinanti,"Carpineto Romano (RM), Ferentino, Frosinone, Giuliano di Roma, Gorga (RM), Maenza (LT), Morolo, Patrica"
Altre informazioni,Altre informazioni
Cod. postale,03019
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060076
Cod. catastale,L009
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 906 GG[3]"
Nome abitanti,supinesi
Patrono,"san Lorenzo, san Cataldo[4]"
Giorno festivo,"10 agosto, 10 maggio"
Cartografia,Cartografia
Supino,Supino
Supino – MappaPosizione del comune di Supino nella provincia di Frosinone,Supino – MappaPosizione del comune di Supino nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
