Isola del Liri comune,Isola del Liri comune.1
,
Isola del Liri – Veduta,Isola del Liri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Massimiliano Quadrini (lista civica Per Isola del Liri) dal 10-6-2024 (II mandato)
Territorio,Territorio
Coordinate,41°41′N 13°34′E
Altitudine,217 m s.l.m.
Superficie,"16,01 km²"
Abitanti,10 532[1] (30-11-2025)
Densità,"657,84 ab./km²"
Frazioni,"Borgonuovo, Carnello, Capitino, Pirandello, Poggio-Stazione, San Carlo, San Domenico, San Paolo, San Sebastiano, Selva Alta, Selva Forli, Tavernanova"
Comuni confinanti,"Arpino, Castelliri, Sora"
Altre informazioni,Altre informazioni
Cod. postale,03036
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060043
Cod. catastale,E340
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 916 GG[3]"
Nome abitanti,isolani
Patrono,Madonna di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Isola del Liri,Isola del Liri
Isola del Liri – MappaPosizione del comune di Isola del Liri nella provincia di Frosinone,Isola del Liri – MappaPosizione del comune di Isola del Liri nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
