Fontechiari comune,Fontechiari comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Pierino Liberato Serafini (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,41°40′03″N 13°40′30″E
Altitudine,375 m s.l.m.
Superficie,"16,15 km²"
Abitanti,1 192[1] (30-11-2025)
Densità,"73,81 ab./km²"
Comuni confinanti,"Arpino, Broccostella, Casalvieri, Posta Fibreno, Vicalvi"
Altre informazioni,Altre informazioni
Cod. postale,03030
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060037
Cod. catastale,D682
Targa,FR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 759 GG[3]"
Nome abitanti,fontechiaresi
Patrono,san Bartolomeo Apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Fontechiari,Fontechiari
Fontechiari – MappaPosizione del comune di Fontechiari nella provincia di Frosinone,Fontechiari – MappaPosizione del comune di Fontechiari nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
