Fiuggi comune,Fiuggi comune.1
,
Fiuggi – Veduta,Fiuggi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Alioska Baccarini (lista civica Fiugginsieme) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°48′N 13°13′E
Altitudine,747 m s.l.m.
Superficie,"32,98 km²"
Abitanti,10 181[1] (30-11-2025)
Densità,"308,7 ab./km²"
Frazioni,Altipiani di Arcinazzo (zona Tefuci-Passo della Sella)
Comuni confinanti,"Acuto, Ferentino, Guarcino, Piglio, Torre Cajetani, Trevi nel Lazio, Trivigliano"
Altre informazioni,Altre informazioni
Cod. postale,03014
Prefisso,0775
Fuso orario,UTC+1
Codice ISTAT,060035
Cod. catastale,A310
Targa,FR
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 496 GG[3]"
Nome abitanti,fiuggini
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Fiuggi,Fiuggi
Fiuggi – MappaPosizione del comune di Fiuggi nella provincia di Frosinone,Fiuggi – MappaPosizione del comune di Fiuggi nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
