Cis comune,Cis comune.1
,
Cis – VedutaPanorama di Cis da Varollo,Cis – VedutaPanorama di Cis da Varollo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Fabio Mengoni (lista civica) dal 22-11-2010
Territorio,Territorio
Coordinate,46°23′58.89″N 11°00′05.71″E
Altitudine,732 m s.l.m.
Superficie,"5,5 km²"
Abitanti,295[1] (30-11-2025)
Densità,"53,64 ab./km²"
Frazioni,"Viar, Mostizzolo[2]"
Comuni confinanti,"Bresimo, Caldes, Cles, Livo"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022060
Cod. catastale,C727
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 381 GG[4]"
Nome abitanti,cisani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cis,Cis
Cis – MappaPosizione del comune di Cis nella provincia autonoma di Trento,Cis – MappaPosizione del comune di Cis nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
