Borgo Valsugana comune,Borgo Valsugana comune.1
,
Borgo Valsugana – VedutaVeduta sul centro dai pressi del Monte Ortigara,Borgo Valsugana – VedutaVeduta sul centro dai pressi del Monte Ortigara
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Martina Ferrai (centro-sinistra) dal 18-5-2025
Territorio,Territorio
Coordinate,46°03′N 11°27′E
Altitudine,386 m s.l.m.
Superficie,"52,37 km²"
Abitanti,7 251[1] (30-11-2025)
Densità,"138,46 ab./km²"
Comuni confinanti,"Asiago (VI), Castelnuovo, Levico Terme, Novaledo, Roncegno Terme, Ronchi Valsugana, Telve, Telve di Sopra, Torcegno"
Altre informazioni,Altre informazioni
Cod. postale,38051
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022022
Cod. catastale,B006
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 984 GG[3]"
Nome abitanti,borghesani
Patrono,san Prospero
Giorno festivo,seconda domenica di luglio e lunedì successivo
Cartografia,Cartografia
Borgo Valsugana,Borgo Valsugana
Borgo Valsugana – MappaPosizione del comune di Borgo Valsugana nella provincia autonoma di Trento,Borgo Valsugana – MappaPosizione del comune di Borgo Valsugana nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
