Cembra Lisignago comune,Cembra Lisignago comune.1
,
"Cembra Lisignago – VedutaCembra, la sede comunale, vista dal ""Croz del Toro"" sotto Lases","Cembra Lisignago – VedutaCembra, la sede comunale, vista dal ""Croz del Toro"" sotto Lases"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessandra Ferrazza (lista civica Un futuro in comune) dal 21-9-2020
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°11′N 11°13′E
Altitudine,666 m s.l.m.
Superficie,"24,11 km²"
Abitanti,2 376[1] (30-11-2025)
Densità,"98,55 ab./km²"
Frazioni,"Cembra (sede comunale), Lisignago"
Comuni confinanti,"Albiano, Altavalle, Giovo, Lona-Lases, Salorno sulla Strada del Vino (BZ), Segonzano"
Altre informazioni,Altre informazioni
Cod. postale,38034
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022241
Cod. catastale,M355
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,San Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cembra Lisignago,Cembra Lisignago
Cembra Lisignago – MappaPosizione del comune di Cembra Lisignago nella provincia autonoma di Trento,Cembra Lisignago – MappaPosizione del comune di Cembra Lisignago nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
