Samone comune,Samone comune.1
,
Samone – VedutaSamone in inverno,Samone – VedutaSamone in inverno
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Andrea Giampiccolo (lista civica) dal 6-11-2016
Territorio,Territorio
Coordinate,46°04′53.65″N 11°31′22.01″E
Altitudine,700 m s.l.m.
Superficie,"4,9 km²"
Abitanti,546[1] (30-11-2025)
Densità,"111,43 ab./km²"
Comuni confinanti,Castel Ivano
Altre informazioni,Altre informazioni
Cod. postale,38059
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022165
Cod. catastale,H754
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,samonati
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Samone,Samone
Samone – MappaPosizione del comune di Samone nella provincia autonoma di Trento,Samone – MappaPosizione del comune di Samone nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
