Pellizzano comune,Pellizzano comune.1
,
Pellizzano – Veduta,Pellizzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Francesca Tomaselli (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°18′34.93″N 10°45′34.66″E
Altitudine,925 m s.l.m.
Superficie,"48,36 km²"
Abitanti,753[1] (30-11-2025)
Densità,"15,57 ab./km²"
Frazioni,"Castello, Termenago"
Comuni confinanti,"Mezzana, Ossana, Peio, Pinzolo, Rabbi"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022137
Cod. catastale,G428
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 834 GG[3]"
Nome abitanti,plicianèti o balotìni[4]
Patrono,santa Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Pellizzano,Pellizzano
Pellizzano – MappaPosizione del comune di Pellizzano nella provincia autonoma di Trento,Pellizzano – MappaPosizione del comune di Pellizzano nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
