Caderzone Terme comune,Caderzone Terme comune.1
,
Caderzone Terme – VedutaCaderzone vista da Bocenago,Caderzone Terme – VedutaCaderzone vista da Bocenago
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Marcello Mosca (lista civica Gente comune) dal 15-11-2015 (3º mandato dal 4-5-2025)
Data di istituzione,15-1-1947
Territorio,Territorio
Coordinate,46°08′N 10°45′E
Altitudine,723 m s.l.m.
Superficie,"18,61 km²"
Abitanti,692[1] (30-11-2025)
Densità,"37,18 ab./km²"
Comuni confinanti,"Bocenago, Carisolo, Giustino, Massimeno, Pinzolo, Spiazzo, Strembo"
Altre informazioni,Altre informazioni
Cod. postale,38080
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022029
Cod. catastale,B335
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 519 GG[3]"
Nome abitanti,caderzonesi (i cadärciùn)
Patrono,san Biagio e san Giuliano[non chiaro]
Giorno festivo,3 febbraio (san Biagio) e ultima domenica di luglio (san Giuliano)
Cartografia,Cartografia
Caderzone Terme,Caderzone Terme
Caderzone Terme – MappaPosizione del comune di Caderzone Terme nella provincia autonoma di Trento,Caderzone Terme – MappaPosizione del comune di Caderzone Terme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
