Rumo comune,Rumo comune.1
,
Rumo – Veduta,Rumo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Michela Noletti (lista civica) dal 17-5-2010
Territorio,Territorio
Coordinate,46°26′33.54″N 11°00′59.61″E
Altitudine,944 m s.l.m.
Superficie,"30,85 km²"
Abitanti,783[1] (30-11-2025)
Densità,"25,38 ab./km²"
Frazioni,"Corte Inferiore, Lanza, Marcena (sede comunale), Mione, Mocenigo"
Comuni confinanti,"Bresimo, Novella, Livo, Proves (BZ), Ultimo (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022163
Cod. catastale,H639
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 863 GG[3]"
Nome abitanti,rumeri
Patrono,Conversione di San Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Rumo,Rumo
Rumo – MappaPosizione del comune di Rumo nella provincia autonoma di Trento,Rumo – MappaPosizione del comune di Rumo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
