Folgaria comune,Folgaria comune.1
,
Folgaria – VedutaPanorama di Folgaria e del Monte Cornetto da Serrada,Folgaria – VedutaPanorama di Folgaria e del Monte Cornetto da Serrada
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Michael Rech (Campobase) dal 27-5-2019
Territorio,Territorio
Coordinate,45°55′N 11°11′E
Altitudine,1 169 m s.l.m.
Superficie,"71,63 km²"
Abitanti,3 164[1] (30-11-2025)
Densità,"44,17 ab./km²"
Frazioni,37[2]
Comuni confinanti,"Altopiano della Vigolana, Arsiero (VI), Besenello, Caldonazzo, Calliano, Laghi (VI), Lastebasse (VI), Lavarone, Rovereto, Terragnolo"
Altre informazioni,Altre informazioni
Cod. postale,38064
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022087
Cod. catastale,D651
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 141 GG[4]"
Nome abitanti,folgaretani (folgaràiti)
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Folgaria,Folgaria
Folgaria – MappaPosizione del comune di Folgaria nella provincia autonoma di Trento,Folgaria – MappaPosizione del comune di Folgaria nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
