Madruzzo comune,Madruzzo comune.1
,
Madruzzo – VedutaCastel Madruzzo,Madruzzo – VedutaCastel Madruzzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Capoluogo,Lasino
Sindaco,Alessio Anselmo (Lista civica) dal 10-11-2025
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate del capoluogo,46°02′26.42″N 10°58′55.04″E
Superficie,"28,93[1] km²"
Abitanti,2 996[2] (30-11-2025)
Densità,"103,56 ab./km²"
Frazioni,"Calavino, Castel Madruzzo, Lagolo, Lasino (sede comunale), Pergolese, Ponte Oliveti, Sarche"
Comuni confinanti,"Cavedine, Comano Terme, Dro, San Lorenzo Dorsino, Trento, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38076
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022243
Cod. catastale,M357
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cartografia,Cartografia
Lasino,Lasino
Madruzzo – MappaPosizione del comune di Madruzzo nella provincia autonoma di Trento,Madruzzo – MappaPosizione del comune di Madruzzo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
