San Michele all'Adige comune,San Michele all'Adige comune.1
,
"San Michele all'Adige – VedutaVista dal monte di Mezzocorona con Grumo in primo piano e, oltre l'Adige, San Michele","San Michele all'Adige – VedutaVista dal monte di Mezzocorona con Grumo in primo piano e, oltre l'Adige, San Michele"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessandro Ziglio (liste civiche) dal 4-5-2025
Territorio,Territorio
Coordinate,46°11′37.68″N 11°08′04.56″E
Altitudine,228 m s.l.m.
Superficie,16 km²
Abitanti,4 104[1] (30-11-2025)
Densità,"256,5 ab./km²"
Frazioni,"Faedo, Grumo[2]"
Comuni confinanti,"Giovo, Lavis, Mezzocorona, Mezzolombardo, Terre d'Adige"
Altre informazioni,Altre informazioni
Cod. postale,38098
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022167
Cod. catastale,I042
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 849 GG[4]"
Nome abitanti,sammichelotti
Patrono,San Michele Arcangelo
Cartografia,Cartografia
San Michele all'Adige,San Michele all'Adige
San Michele all'Adige – MappaPosizione del comune di San Michele all'Adige nella provincia autonoma di Trento,San Michele all'Adige – MappaPosizione del comune di San Michele all'Adige nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
