Telve di Sopra comune,Telve di Sopra comune.1
,
Telve di Sopra – Veduta,Telve di Sopra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Giampaolo Bonella (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°04′N 11°28′E
Altitudine,650 m s.l.m.
Superficie,"17,72 km²"
Abitanti,619[1] (30-11-2025)
Densità,"34,93 ab./km²"
Frazioni,Masi Fratte
Comuni confinanti,"Borgo Valsugana, Palù del Fersina, Telve, Torcegno"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022189
Cod. catastale,L090
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 405 GG[3]"
Nome abitanti,Telvedesorati
Patrono,San Giovanni Battista
Giorno festivo,24 giugno - 27 dicembre (copatrono San Giovanni Evangelista)
Cartografia,Cartografia
Telve di Sopra,Telve di Sopra
Telve di Sopra – MappaPosizione del comune di Telve di Sopra nella provincia autonoma di Trento,Telve di Sopra – MappaPosizione del comune di Telve di Sopra nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
