Dro comune,Dro comune.1
,
Dro – Veduta,Dro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ginetta Santoni (Partito Autonomista Trentino Tirolese) dal 4-05-2025
Territorio,Territorio
Coordinate,45°58′N 10°55′E
Altitudine,123 m s.l.m.
Superficie,"27,95 km²"
Abitanti,5 099[1] (30-11-2025)
Densità,"182,43 ab./km²"
Frazioni,Ceniga e Pietramurata
Comuni confinanti,"Arco, Cavedine, Drena, Madruzzo, Comano Terme"
Altre informazioni,Altre informazioni
Cod. postale,38074
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022079
Cod. catastale,D371
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 354 GG[3]"
Nome abitanti,droensi o droati[4]
Patrono,"sant'Antonio (Dro), santi Pietro e Paolo (Ceniga)"
Cartografia,Cartografia
Dro,Dro
Dro – MappaPosizione del comune di Dro  nella provincia autonoma di Trento,Dro – MappaPosizione del comune di Dro  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
