Nogaredo comune,Nogaredo comune.1
,
Nogaredo – Veduta,Nogaredo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alberto Scerbo (Lista civica) dall'11-10-2021
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°54′31.91″N 11°01′11.91″E
Altitudine,216 m s.l.m.
Superficie,"3,61 km²"
Abitanti,2 106[1] (30-11-2025)
Densità,"583,38 ab./km²"
Frazioni,"Brancolino, Molini, Noarna, Santa Lucia, Sasso"
Comuni confinanti,"Isera, Rovereto, Villa Lagarina"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022127
Cod. catastale,F920
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 731 GG[3]"
Nome abitanti,"nogaretani (nogaràiteri, nogaredani)[4]"
Patrono,Santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Nogaredo,Nogaredo
Nogaredo – MappaPosizione del comune di Nogaredo nella provincia autonoma di Trento,Nogaredo – MappaPosizione del comune di Nogaredo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
