Arco comune,Arco comune.1
,
Arco – VedutaVeduta di Arco dall'omonimo castello,Arco – VedutaVeduta di Arco dall'omonimo castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Arianna Fiorio (Indipendente di sinistra) dal 18-05-2025
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°55′09.2″N 10°53′10.2″E
Altitudine,91 m s.l.m.
Superficie,"63,22 km²"
Abitanti,17 725[1] (30-11-2025)
Densità,"280,37 ab./km²"
Frazioni,"Bolognano, Braila, Caneve, Ceole, Chiarano, La Grotta, Linfano, Massone, Moletta, Mogno, Padaro, Prabi, Pratosaiano, Romarzolo, San Giorgio, San Giovanni al monte, San Martino, Varignano, Vigne, Vignole"
Comuni confinanti,"Comano Terme, Drena, Dro, Mori, Nago-Torbole, Riva del Garda, Ronzo-Chienis, Tenno, Villa Lagarina"
Altre informazioni,Altre informazioni
Cod. postale,38062
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022006
Cod. catastale,A372
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 380 GG[3]"
Nome abitanti,arcensi
Patrono,"sant'Anna e Gioacchino, san Bernardino da Siena"
Giorno festivo,"26 luglio, 20 maggio"
Cartografia,Cartografia
Arco,Arco
Arco – MappaPosizione del comune di Arco nella provincia autonoma di Trento,Arco – MappaPosizione del comune di Arco nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
