Lavis comune,Lavis comune.1
,
Lavis – VedutaVista da San Lazzaro,Lavis – VedutaVista da San Lazzaro
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,"Luca Paolazzi (PD-PATT-Lista civica ""Vivilavis"") dal 4-5-2025"
Territorio,Territorio
Coordinate,46°08′20.44″N 11°06′44.14″E
Altitudine,238 m s.l.m.
Superficie,"12,18 km²"
Abitanti,9 218[1] (30-11-2025)
Densità,"756,81 ab./km²"
Frazioni,"Pressano (Presan), Nave San Felice (Nave), Sorni"
Comuni confinanti,"Giovo, San Michele all'Adige, Trento, Terre d'Adige, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38015
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022103
Cod. catastale,E500
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 784 GG[3]"
Nome abitanti,lavisani
Patrono,sant'Ulderico
Giorno festivo,8 settembre
Cartografia,Cartografia
Lavis,Lavis
Lavis – MappaPosizione del comune di Lavis  nella provincia autonoma di Trento,Lavis – MappaPosizione del comune di Lavis  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
