Sporminore comune,Sporminore comune.1
,
Sporminore – VedutaSporminore,Sporminore – VedutaSporminore
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Diego Giovannini (lista civica) dal 22-09-2020
Data di istituzione,1947
Territorio,Territorio
Coordinate,46°14′N 11°02′E
Altitudine,515 m s.l.m.
Superficie,"17,47 km²"
Abitanti,721[1] (30-11-2025)
Densità,"41,27 ab./km²"
Comuni confinanti,"Campodenno, Spormaggiore, Ton"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022181
Cod. catastale,I925
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 194 GG[3]"
Nome abitanti,sporminorensi o sporesi (i spóri[4])
Patrono,Maria Addolorata
Giorno festivo,Terza domenica di settembre
Cartografia,Cartografia
Sporminore,Sporminore
Sporminore – MappaPosizione del comune di Sporminore nella provincia autonoma di Trento,Sporminore – MappaPosizione del comune di Sporminore nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
