Pieve Tesino comune,Pieve Tesino comune.1
,
Pieve Tesino – Veduta,Pieve Tesino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Oscar Nervo (lista civica Per Pieve) dal 2020
Territorio,Territorio
Coordinate,46°04′08.62″N 11°36′32.69″E
Altitudine,843 m s.l.m.
Superficie,"69,23 km²"
Abitanti,665[1] (30-11-2025)
Densità,"9,61 ab./km²"
Frazioni,"Malene, Pradellano"
Comuni confinanti,"Bieno, Canal San Bovo, Castel Ivano, Castello-Molina di Fiemme, Castello Tesino, Cavalese, Cinte Tesino, Ospedaletto, Panchià, Scurelle, Telve, Tesero, Ziano di Fiemme"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022142
Cod. catastale,G656
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 706 GG[3]"
Nome abitanti,pievesi o tesini; pievaraži[4]
Patrono,Maria Santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Pieve Tesino,Pieve Tesino
Pieve Tesino – MappaPosizione del comune di Pieve Tesino nella provincia autonoma di Trento,Pieve Tesino – MappaPosizione del comune di Pieve Tesino nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
