Terragnolo comune,Terragnolo comune.1
,
Terragnolo – VedutaLe frazioni centrali del comune di Terragnolo,Terragnolo – VedutaLe frazioni centrali del comune di Terragnolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Massimo Zenatti (Lista civica) dall'11-10-2021
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°53′N 11°09′E
Altitudine,785 m s.l.m.
Superficie,"39,57 km²"
Abitanti,705[1] (30-11-2025)
Densità,"17,82 ab./km²"
Frazioni,"San Nicolò, Fontanelle, Valduga, Valgrande, Perini, Piazza (sede comunale), Dosso, Maureri, Rovri, Pedrazzi, Peltreri, Puechem, Pergheri, Stedileri, Valle, Zencheri, Castello, Croce, Costa, Camperi, Geroli, Pinterreno, Ghesteri, Sega, Scottini, Pornal, Potrich, Dieneri, Zoreri, Soldati, Baisi, Incapo, Campi[2]"
Comuni confinanti,"Folgaria, Laghi (VI), Posina (VI), Rovereto, Trambileno"
Altre informazioni,Altre informazioni
Lingue,"Italiano, cimbro"
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022193
Cod. catastale,L121
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 615 GG[4]"
Nome abitanti,terragnoli (teragnói)
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Terragnolo,Terragnolo
Terragnolo – MappaPosizione del comune di Terragnolo nella provincia autonoma di Trento,Terragnolo – MappaPosizione del comune di Terragnolo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
