Bleggio Superiore comune,Bleggio Superiore comune.1
,
Bleggio Superiore – Veduta,Bleggio Superiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Riccadonna Flavio (lista civica) dal 21-9-2020
Data di istituzione,10-1-1947
Territorio,Territorio
Coordinate,46°01′21.25″N 10°49′25.25″E
Altitudine,628 m s.l.m.
Superficie,"32,67 km²"
Abitanti,1 546[1] (30-11-2025)
Densità,"47,32 ab./km²"
Frazioni,"Balbido (Balbì), Bivedo (Bué), Cavaione (Cavajón), Cavrasto (Caveràst), Cornelle (Cornèle), Gallio (Gàj), Larido (Larì), Madice (Màdes), Marazzone (Maración), Marcè, Rango (Ranch), Santa Croce del Bleggio (La Piéf, sede comunale)"
Comuni confinanti,"Borgo Lares, Comano Terme, Fiavé, Ledro, Tione di Trento"
Altre informazioni,Altre informazioni
Cod. postale,38071
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022017
Cod. catastale,A902
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 349 GG[3]"
Nome abitanti,bleggiani (blégi)
Patrono,Cavrasto (santi Faustino e Giovita); Balbido (santa Giustina); Bivedo (sant'Antonio abate); Cavaione (san Rocco)
Cartografia,Cartografia
Bleggio Superiore,Bleggio Superiore
Bleggio Superiore – MappaPosizione del comune di Bleggio Superiore nella provincia autonoma di Trento,Bleggio Superiore – MappaPosizione del comune di Bleggio Superiore nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
