Sover comune,Sover comune.1
,
Sover – VedutaSover (in basso) e le sue frazioni Montesover (in alto) e Facendi (a destra) visti da Grauno.,Sover – VedutaSover (in basso) e le sue frazioni Montesover (in alto) e Facendi (a destra) visti da Grauno.
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Rosalba Sighel (lista civica) dal 22-09-2020
Territorio,Territorio
Coordinate,46°13′N 11°19′E
Altitudine,831 m s.l.m.
Superficie,"14,82 km²"
Abitanti,812[1] (30-11-2025)
Densità,"54,79 ab./km²"
Frazioni,"Facendi, Montalto, Montesover, Piazzoli, Piscine, Settefontane, Slosseri, Sveseri"
Comuni confinanti,"Altavalle, Bedollo, Capriana, Lona-Lases, Segonzano, Valfloriana"
Altre informazioni,Altre informazioni
Cod. postale,38048
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022177
Cod. catastale,I871
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 687 GG[3]"
Nome abitanti,soéri
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Sover,Sover
Sover – MappaPosizione del comune di Sover nella provincia autonoma di Trento,Sover – MappaPosizione del comune di Sover nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
