Novella comune,Novella comune.1
"Novella – VedutaLago di Santa Giustina, sul quale si affacciano alcune frazioni del comune","Novella – VedutaLago di Santa Giustina, sul quale si affacciano alcune frazioni del comune"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Capoluogo,Revò
Sindaco,Silvano Dominici (lista civica di centro-sinistra) dal 18-05-2025
Data di istituzione,1º gennaio 2020
Territorio,Territorio
Coordinate del capoluogo,46°23′28.39″N 11°03′30.35″E
Altitudine,724 m s.l.m.
Superficie,"46,59 km²"
Abitanti,3 588[1] (30-11-2025)
Densità,"77,01 ab./km²"
Frazioni,"Arsio, Brez, Cagnò, Carnalez, Cloz, Frari, Revò, Romallo, Salobbi, Traversara, Tregiovo"
Comuni confinanti,"Borgo d'Anaunia, Dambel, Lauregno (BZ), Sarnonico, Cles, Livo, Sanzeno"
Altre informazioni,Altre informazioni
Cod. postale,38028
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022253
Cod. catastale,M430
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cartografia,Cartografia
Revò,Revò
Novella – MappaPosizione del comune di Novella all'interno della provincia di Trento,Novella – MappaPosizione del comune di Novella all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
